order_id,driver_id,driver_name,customer_name,phone,address,area,lat,lng,fragile,package_size,vehicle_required,status,delivery_date,delivered_at
4001,28,Ali Edris,Nada Saeed,1155286296,32 El Nasr Rd,Nasr City,30.041242,31.341969,No,Medium,Scooter,pending,2026-05-20,
4002,64,Mohamed Samir,Nour Ibrahim,1219989543,40 Abbas El Akkad St,New Cairo,30.022421,31.488107,Yes,Small,Van,pending,2026-05-20,
4003,28,Ali Edris,Doaa Hassan,1207018603,44 Makram Ebeid St,Downtown,30.050013,31.232547,No,Medium,Scooter,pending,2026-05-20,
4004,64,Mohamed Samir,Nada Mahmoud,1293044696,44 Abbas El Akkad St,New Cairo,30.021062,31.478657,No,Small,Van,pending,2026-05-20,
4005,31,Ahmed Hossam,Ali Ibrahim,1242595903,5 Salah Salem St,Shubra,30.115182,31.236886,No,Medium,Scooter,delivered,2026-05-20,2026-05-20T14:54:37.975570
4006,64,Mohamed Samir,Rania Saeed,1089500043,48 Ramses St,New Cairo,30.036298,31.473099,Yes,Large,Van,pending,2026-05-20,
4007,64,Mohamed Samir,Mohamed Mahmoud,1001272251,34 Abbas El Akkad St,Obour,30.044559,31.492379,No,Medium,Van,pending,2026-05-20,
4008,57,Abd El Rahman Mostafa,Nour Samy,1229722489,47 Mostafa El Nahas St,Nasr City,30.056331,31.317181,No,Large,Scooter,pending,2026-05-20,
4009,57,Abd El Rahman Mostafa,Youssef Samy,1158290385,11 Street 9,Nasr City,30.042284,31.332791,No,Large,Scooter,pending,2026-05-20,
4010,28,Ali Edris,Laila Ali,1013043954,8 Abbas El Akkad St,Shubra,30.118664,31.232197,Yes,Small,Scooter,pending,2026-05-20,
4011,31,Ahmed Hossam,Tarek Fathy,1151145027,14 Makram Ebeid St,Shubra,30.116208,31.259123,Yes,Large,Scooter,pending,2026-05-20,
4012,28,Ali Edris,Mohamed Ibrahim,1161396366,40 Makram Ebeid St,Downtown,30.059159,31.25363,No,Medium,Scooter,pending,2026-05-20,
4013,29,Hassan Hossny,Mona Fathy,1261283431,20 Abbas El Akkad St,Maadi,29.949709,31.265172,Yes,Large,Van,pending,2026-05-20,
4014,28,Ali Edris,Hassan Saeed,1247874472,4 Salah Salem St,Nasr City,30.074339,31.327651,Yes,Medium,Scooter,pending,2026-05-20,
4015,28,Ali Edris,Ahmed Saeed,1014981420,42 Makram Ebeid St,Downtown,30.039144,31.232271,Yes,Medium,Scooter,pending,2026-05-20,
4016,64,Mohamed Samir,Tarek Samy,1297417793,20 Makram Ebeid St,Obour,30.043856,31.50567,No,Large,Van,pending,2026-05-20,
4017,64,Mohamed Samir,Yara Reda,1229571128,6 Ramses St,New Cairo,30.008984,31.474348,No,Large,Van,pending,2026-05-20,
4018,28,Ali Edris,Khaled Saeed,1231303899,3 El Thawra St,Downtown,30.036073,31.222953,No,Medium,Scooter,pending,2026-05-20,
4019,29,Hassan Hossny,Ali Ali,1066378645,15 Abbas El Akkad St,Maadi,29.953417,31.263947,No,Small,Van,pending,2026-05-20,
4020,28,Ali Edris,Amira Fathy,1241414201,43 El Thawra St,Downtown,30.026328,31.221249,No,Medium,Scooter,pending,2026-05-20,
4021,57,Abd El Rahman Mostafa,Khaled Nabil,1045562543,28 Salah Salem St,Heliopolis,30.063239,31.321801,Yes,Large,Scooter,pending,2026-05-20,
4022,29,Hassan Hossny,Dina Ali,1233051747,5 Abbas El Akkad St,Maadi,29.953298,31.23694,Yes,Medium,Van,pending,2026-05-20,
4023,28,Ali Edris,Doaa Samy,1128544168,23 Abbas El Akkad St,Downtown,30.044375,31.239166,Yes,Small,Scooter,pending,2026-05-20,
4024,28,Ali Edris,Mahmoud Ibrahim,1208480062,45 Makram Ebeid St,Downtown,30.029979,31.222715,No,Small,Scooter,pending,2026-05-20,
4025,64,Mohamed Samir,Salma Reda,1017593135,45 Ramses St,New Cairo,30.01393,31.471922,Yes,Small,Van,pending,2026-05-20,
4026,29,Hassan Hossny,Nour Ibrahim,1166132051,15 Salah Salem St,Maadi,29.961686,31.261028,Yes,Small,Van,pending,2026-05-20,
4027,57,Abd El Rahman Mostafa,Amr Ali,1048210649,23 Makram Ebeid St,Heliopolis,30.062451,31.340461,No,Large,Scooter,pending,2026-05-20,
4028,28,Ali Edris,Amr Adel,1081178962,43 Abbas El Akkad St,Heliopolis,30.068404,31.311059,No,Small,Scooter,pending,2026-05-20,
4029,29,Hassan Hossny,Dina Adel,1052194538,4 Mostafa El Nahas St,Maadi,29.952514,31.240227,No,Large,Van,pending,2026-05-20,
4030,28,Ali Edris,Yara Saeed,1299526685,49 Street 9,Nasr City,30.062226,31.331125,Yes,Medium,Scooter,pending,2026-05-20,
4031,64,Mohamed Samir,Mona Ali,1087986345,29 Makram Ebeid St,New Cairo,30.028419,31.50388,Yes,Small,Van,pending,2026-05-20,
4032,28,Ali Edris,Mahmoud Hassan,1039721150,15 Salah Salem St,Downtown,30.027226,31.217833,Yes,Large,Scooter,pending,2026-05-20,
4033,28,Ali Edris,Mostafa Mahmoud,1148094582,21 Mostafa El Nahas St,Downtown,30.050789,31.237442,No,Small,Scooter,pending,2026-05-20,
4034,64,Mohamed Samir,Karim Mahmoud,1192868895,14 El Thawra St,New Cairo,30.012508,31.489148,No,Small,Van,pending,2026-05-20,
4035,64,Mohamed Samir,Doaa Saeed,1104713901,30 Mostafa El Nahas St,Obour,30.019948,31.493244,Yes,Large,Van,pending,2026-05-20,
4036,28,Ali Edris,Karim Adel,1014806016,16 El Thawra St,Heliopolis,30.045466,31.317087,Yes,Medium,Scooter,pending,2026-05-20,
4037,28,Ali Edris,Karim Fathy,1189098876,27 El Nasr Rd,Shubra,30.111914,31.221504,Yes,Small,Scooter,pending,2026-05-20,
4038,28,Ali Edris,Omar Nabil,1181249342,28 Salah Salem St,Shubra,30.093452,31.257691,No,Medium,Scooter,pending,2026-05-20,
4039,28,Ali Edris,Mahmoud Adel,1194072471,50 Ramses St,Nasr City,30.075318,31.348279,Yes,Medium,Scooter,pending,2026-05-20,
4040,31,Ahmed Hossam,Salma Hassan,1285164989,34 El Nasr Rd,Shubra,30.10871,31.220614,Yes,Large,Scooter,pending,2026-05-20,
4041,29,Hassan Hossny,Karim Khaled,1069426445,25 Mostafa El Nahas St,Maadi,29.971195,31.269299,Yes,Large,Van,pending,2026-05-20,
4042,28,Ali Edris,Tarek Ali,1063089866,30 El Thawra St,Downtown,30.032976,31.253528,Yes,Medium,Scooter,pending,2026-05-20,
4043,64,Mohamed Samir,Sara Khaled,1077685802,36 Abbas El Akkad St,Obour,30.023256,31.481158,Yes,Medium,Van,pending,2026-05-20,
4044,64,Mohamed Samir,Mahmoud Saeed,1077281977,11 Makram Ebeid St,Obour,30.042231,31.493971,No,Medium,Van,pending,2026-05-20,
4045,29,Hassan Hossny,Salma Nabil,1001848450,50 Makram Ebeid St,Maadi,29.963702,31.266271,No,Medium,Van,pending,2026-05-20,
4046,29,Hassan Hossny,Nada Ibrahim,1245644276,20 Ramses St,Maadi,29.970466,31.255402,Yes,Small,Van,pending,2026-05-20,
4047,28,Ali Edris,Khaled Ibrahim,1294092672,50 Salah Salem St,Downtown,30.032998,31.217659,No,Small,Scooter,pending,2026-05-20,
4048,57,Abd El Rahman Mostafa,Hassan Saeed,1110040482,35 Salah Salem St,Heliopolis,30.046885,31.33311,No,Large,Scooter,pending,2026-05-20,
4049,57,Abd El Rahman Mostafa,Doaa Fathy,1056503470,14 El Thawra St,Heliopolis,30.058505,31.340766,No,Large,Scooter,pending,2026-05-20,
4050,29,Hassan Hossny,Mostafa Mahmoud,1213335527,12 Makram Ebeid St,Maadi,29.952948,31.268689,No,Medium,Van,pending,2026-05-20,
4051,64,Mohamed Samir,Yara Khaled,1132605922,38 Abbas El Akkad St,Obour,30.04079,31.484056,Yes,Large,Van,pending,2026-05-20,
4052,57,Abd El Rahman Mostafa,Tarek Fathy,1095118754,Abbas El-Akkad,Nasr City,30.053339,31.3364,Yes,Large,Scooter,pending,2026-05-21,
