order_id,customer_name,phone,address,area,driver_name,fragile,package_size,vehicle_required
4001,Nada Saeed,01155286296,32 El Nasr Rd,Nasr City,Khaled Samy,No,Medium,Scooter
4002,Nour Ibrahim,01219989543,40 Abbas El Akkad St,New Cairo,Mohamed Ali,Yes,Small,Scooter
4003,Doaa Hassan,01207018603,44 Makram Ebeid St,Downtown,Ahmed Fathy,No,Medium,Scooter
4004,Nada Mahmoud,01293044696,44 Abbas El Akkad St,New Cairo,Mohamed Ali,No,Small,Scooter
4005,Ali Ibrahim,01242595903,5 Salah Salem St,Shubra,Ali Mahmoud,No,Medium,Scooter
4006,Rania Saeed,01089500043,48 Ramses St,New Cairo,Hassan Reda,Yes,Large,Van
4007,Mohamed Mahmoud,01001272251,34 Abbas El Akkad St,Obour,Ali Mahmoud,No,Medium,Scooter
4008,Nour Samy,01229722489,47 Mostafa El Nahas St,Nasr City,Mahmoud Essam,No,Large,Van
4009,Youssef Samy,01158290385,11 Street 9,Nasr City,Youssef Tarek,No,Large,Van
4010,Laila Ali,01013043954,8 Abbas El Akkad St,Shubra,Mostafa Adel,Yes,Small,Scooter
4011,Tarek Fathy,01151145027,14 Makram Ebeid St,Shubra,Ali Mahmoud,Yes,Large,Van
4012,Mohamed Ibrahim,01161396366,40 Makram Ebeid St,Downtown,Mohamed Ali,No,Medium,Scooter
4013,Mona Fathy,01261283431,20 Abbas El Akkad St,Maadi,Mahmoud Essam,Yes,Large,Van
4014,Hassan Saeed,01247874472,4 Salah Salem St,Nasr City,Khaled Samy,Yes,Medium,Scooter
4015,Ahmed Saeed,01014981420,42 Makram Ebeid St,Downtown,Ali Mahmoud,Yes,Medium,Scooter
4016,Tarek Samy,01297417793,20 Makram Ebeid St,Obour,Mohamed Ali,No,Large,Van
4017,Yara Reda,01229571128,6 Ramses St,New Cairo,Youssef Tarek,No,Large,Van
4018,Khaled Saeed,01231303899,3 El Thawra St,Downtown,Ahmed Fathy,No,Medium,Scooter
4019,Ali Ali,01066378645,15 Abbas El Akkad St,Maadi,Khaled Samy,No,Small,Scooter
4020,Amira Fathy,01241414201,43 El Thawra St,Downtown,Ali Mahmoud,No,Medium,Scooter
4021,Khaled Nabil,01045562543,28 Salah Salem St,Heliopolis,Ahmed Fathy,Yes,Large,Van
4022,Dina Ali,01233051747,5 Abbas El Akkad St,Maadi,Mahmoud Essam,Yes,Medium,Scooter
4023,Doaa Samy,01128544168,23 Abbas El Akkad St,Downtown,Ali Mahmoud,Yes,Small,Scooter
4024,Mahmoud Ibrahim,01208480062,45 Makram Ebeid St,Downtown,Mostafa Adel,No,Small,Scooter
4025,Salma Reda,01017593135,45 Ramses St,New Cairo,Mostafa Adel,Yes,Small,Scooter
4026,Nour Ibrahim,01166132051,15 Salah Salem St,Maadi,Mohamed Ali,Yes,Small,Scooter
4027,Amr Ali,01048210649,23 Makram Ebeid St,Heliopolis,Mahmoud Essam,No,Large,Van
4028,Amr Adel,01081178962,43 Abbas El Akkad St,Heliopolis,Youssef Tarek,No,Small,Scooter
4029,Dina Adel,01052194538,4 Mostafa El Nahas St,Maadi,Mohamed Ali,No,Large,Van
4030,Yara Saeed,01299526685,49 Street 9,Nasr City,Hassan Reda,Yes,Medium,Scooter
4031,Mona Ali,01087986345,29 Makram Ebeid St,New Cairo,Youssef Tarek,Yes,Small,Scooter
4032,Mahmoud Hassan,01039721150,15 Salah Salem St,Downtown,Mahmoud Essam,Yes,Large,Van
4033,Mostafa Mahmoud,01148094582,21 Mostafa El Nahas St,Downtown,Mahmoud Essam,No,Small,Scooter
4034,Karim Mahmoud,01192868895,14 El Thawra St,New Cairo,Mostafa Adel,No,Small,Scooter
4035,Doaa Saeed,01104713901,30 Mostafa El Nahas St,Obour,Youssef Tarek,Yes,Large,Van
4036,Karim Adel,01014806016,16 El Thawra St,Heliopolis,Mohamed Ali,Yes,Medium,Scooter
4037,Karim Fathy,01189098876,27 El Nasr Rd,Shubra,Mohamed Ali,Yes,Small,Scooter
4038,Omar Nabil,01181249342,28 Salah Salem St,Shubra,Hassan Reda,No,Medium,Scooter
4039,Mahmoud Adel,01194072471,50 Ramses St,Nasr City,Youssef Tarek,Yes,Medium,Scooter
4040,Salma Hassan,01285164989,34 El Nasr Rd,Shubra,Mohamed Ali,Yes,Large,Van
4041,Karim Khaled,01069426445,25 Mostafa El Nahas St,Maadi,Youssef Tarek,Yes,Large,Van
4042,Tarek Ali,01063089866,30 El Thawra St,Downtown,Mohamed Ali,Yes,Medium,Scooter
4043,Sara Khaled,01077685802,36 Abbas El Akkad St,Obour,Khaled Samy,Yes,Medium,Scooter
4044,Mahmoud Saeed,01077281977,11 Makram Ebeid St,Obour,Mohamed Ali,No,Medium,Scooter
4045,Salma Nabil,01001848450,50 Makram Ebeid St,Maadi,Mostafa Adel,No,Medium,Scooter
4046,Nada Ibrahim,01245644276,20 Ramses St,Maadi,Ahmed Fathy,Yes,Small,Scooter
4047,Khaled Ibrahim,01294092672,50 Salah Salem St,Downtown,Mahmoud Essam,No,Small,Scooter
4048,Hassan Saeed,01110040482,35 Salah Salem St,Heliopolis,Ali Mahmoud,No,Large,Van
4049,Doaa Fathy,01056503470,14 El Thawra St,Heliopolis,Hassan Reda,No,Large,Van
4050,Mostafa Mahmoud,01213335527,12 Makram Ebeid St,Maadi,Mahmoud Essam,No,Medium,Scooter
